page,label,stem_path,option_1_path,option_2_path,option_3_path,option_4_path,option_5_path,option_6_path
26,item_35,item_35/item_35_stem.png,item_35/item_35_option_1.png,item_35/item_35_option_2.png,item_35/item_35_option_3.png,item_35/item_35_option_4.png,item_35/item_35_option_5.png,item_35/item_35_option_6.png
27,item_36,item_36/item_36_stem.png,item_36/item_36_option_1.png,item_36/item_36_option_2.png,item_36/item_36_option_3.png,item_36/item_36_option_4.png,item_36/item_36_option_5.png,item_36/item_36_option_6.png
28,item_37,item_37/item_37_stem.png,item_37/item_37_option_1.png,item_37/item_37_option_2.png,item_37/item_37_option_3.png,item_37/item_37_option_4.png,item_37/item_37_option_5.png,item_37/item_37_option_6.png
29,item_38,item_38/item_38_stem.png,item_38/item_38_option_1.png,item_38/item_38_option_2.png,item_38/item_38_option_3.png,item_38/item_38_option_4.png,item_38/item_38_option_5.png,item_38/item_38_option_6.png
30,item_39,item_39/item_39_stem.png,item_39/item_39_option_1.png,item_39/item_39_option_2.png,item_39/item_39_option_3.png,item_39/item_39_option_4.png,item_39/item_39_option_5.png,item_39/item_39_option_6.png
31,item_40,item_40/item_40_stem.png,item_40/item_40_option_1.png,item_40/item_40_option_2.png,item_40/item_40_option_3.png,item_40/item_40_option_4.png,item_40/item_40_option_5.png,item_40/item_40_option_6.png
32,item_41,item_41/item_41_stem.png,item_41/item_41_option_1.png,item_41/item_41_option_2.png,item_41/item_41_option_3.png,item_41/item_41_option_4.png,item_41/item_41_option_5.png,item_41/item_41_option_6.png
33,item_42,item_42/item_42_stem.png,item_42/item_42_option_1.png,item_42/item_42_option_2.png,item_42/item_42_option_3.png,item_42/item_42_option_4.png,item_42/item_42_option_5.png,item_42/item_42_option_6.png
34,item_43,item_43/item_43_stem.png,item_43/item_43_option_1.png,item_43/item_43_option_2.png,item_43/item_43_option_3.png,item_43/item_43_option_4.png,item_43/item_43_option_5.png,item_43/item_43_option_6.png
35,item_44,item_44/item_44_stem.png,item_44/item_44_option_1.png,item_44/item_44_option_2.png,item_44/item_44_option_3.png,item_44/item_44_option_4.png,item_44/item_44_option_5.png,item_44/item_44_option_6.png
36,item_45,item_45/item_45_stem.png,item_45/item_45_option_1.png,item_45/item_45_option_2.png,item_45/item_45_option_3.png,item_45/item_45_option_4.png,item_45/item_45_option_5.png,item_45/item_45_option_6.png
37,item_46,item_46/item_46_stem.png,item_46/item_46_option_1.png,item_46/item_46_option_2.png,item_46/item_46_option_3.png,item_46/item_46_option_4.png,item_46/item_46_option_5.png,item_46/item_46_option_6.png
38,item_47,item_47/item_47_stem.png,item_47/item_47_option_1.png,item_47/item_47_option_2.png,item_47/item_47_option_3.png,item_47/item_47_option_4.png,item_47/item_47_option_5.png,item_47/item_47_option_6.png
39,item_48,item_48/item_48_stem.png,item_48/item_48_option_1.png,item_48/item_48_option_2.png,item_48/item_48_option_3.png,item_48/item_48_option_4.png,item_48/item_48_option_5.png,item_48/item_48_option_6.png
40,item_49,item_49/item_49_stem.png,item_49/item_49_option_1.png,item_49/item_49_option_2.png,item_49/item_49_option_3.png,item_49/item_49_option_4.png,item_49/item_49_option_5.png,item_49/item_49_option_6.png
41,item_50,item_50/item_50_stem.png,item_50/item_50_option_1.png,item_50/item_50_option_2.png,item_50/item_50_option_3.png,item_50/item_50_option_4.png,item_50/item_50_option_5.png,item_50/item_50_option_6.png
